Aspect Ratio b/a	x=u (mm)	y=F_{t,b/a} (N)
1
	0.0	0.0
	0.01	0.0003593822487289144
	0.02	0.0007187898960143901
	0.030000000000000002	0.001078232096369
	0.04	0.0014377286521641
	0.05	0.0017972965709543
	0.060000000000000005	0.0021569529378437
	0.07	0.0025167148606058
	0.08	0.0028765994741812
	0.09	0.0032366239451696
	0.1	0.0035968054763171
	0.11	0.0039571613109985
	0.12000000000000001	0.0043177087376938
	0.13	0.0046784650944601
	0.13999999999999999	0.0050394477733958
	0.15	0.0054006742250983
	0.16	0.0057621619631123
	0.17	0.006123928568368
	0.18	0.0064859916936064
	0.19	0.0068483690677884
	0.2	0.0072110785004871
	0.21000000000000002	0.0075741378862564
	0.22	0.0079375652089743
	0.23	0.0083013785461548
	0.24000000000000002	0.0086655960732238
	0.25	0.0090302360677516
	0.26	0.0093953169136366
	0.27	0.0097608571052317
	0.28	0.0101268752514046
	0.29	0.0104933900795234
	0.3	0.0108604204393561
	0.31	0.0112279853068737
	0.32	0.0115961037879429
	0.33	0.0119647951218963
	0.34	0.012334078684964
	0.35000000000000003	0.0127039739935518
	0.36000000000000004	0.0130745007073472
	0.37	0.0134456786322364
	0.38	0.0138175277230106
	0.3900000000000001	0.0141900680858416
	0.4	0.0145633199805038
2
	0.0	0.0
	0.01	0.0006145356239267408
	0.02	0.0012291011679142
	0.030000000000000002	0.0018437078652719
	0.04	0.0024583813691161
	0.05	0.00307314366299
	0.060000000000000005	0.0036880167815118
	0.07	0.0043030227827943
	0.08	0.0049181837532008
	0.09	0.0055335218121256
	0.1	0.0061490591168014
	0.11	0.0067648178671398
	0.12000000000000001	0.0073808203106083
	0.13	0.0079970887471463
	0.13999999999999999	0.0086136455341273
	0.15	0.009230513091368
	0.16	0.0098477139061911
	0.17	0.0104652705385431
	0.18	0.0110832056261727
	0.19	0.0117015418898728
	0.2	0.0123203021387897
	0.21000000000000002	0.0129395092758015
	0.22	0.0135591863029709
	0.23	0.0141793563270742
	0.24000000000000002	0.0148000425652078
	0.25	0.0154212683504755
	0.26	0.0160430571377586
	0.27	0.0166654325095671
	0.28	0.0172884181819758
	0.29	0.0179120380106414
	0.3	0.0185363159969016
	0.31	0.019161276293953
	0.32	0.0197869432131018
	0.33	0.0204133412300871
	0.34	0.0210404949914641
	0.35000000000000003	0.0216684293210436
	0.36000000000000004	0.0222971692263747
	0.37	0.0229267399052587
	0.38	0.0235571667522773
	0.3900000000000001	0.0241884753653204
	0.4	0.0248206915520887
4
	0.0	0.0
	0.01	0.0009335074171396994
	0.02	0.0018670530459977
	0.030000000000000002	0.0028006496232448
	0.04	0.0037343265678495
	0.05	0.0046681090946688
	0.060000000000000005	0.0056020224563149
	0.07	0.0065360919278335
	0.08	0.0074703428111413
	0.09	0.0084048004394903
	0.1	0.0093394901819638
	0.11	0.0102744374480086
	0.12000000000000001	0.0112096676920095
	0.13	0.0121452064179087
	0.13999999999999999	0.0130810791838772
	0.15	0.0140173116070424
	0.16	0.014953929368277
	0.17	0.0158909582170548
	0.18	0.0168284239763791
	0.19	0.0177663525477885
	0.2	0.0187047699164468
	0.21000000000000002	0.0196437021563211
	0.22	0.0205831754354553
	0.23	0.0215232160213444
	0.24000000000000002	0.0224638502864135
	0.25	0.0234051047136095
	0.26	0.0243470059021086
	0.27	0.0252895805731458
	0.28	0.0262328555759692
	0.29	0.0271768578939256
	0.3	0.0281216146506774
	0.31	0.0290671531165534
	0.32	0.0300135007150378
	0.33	0.0309606850293915
	0.34	0.0319087338094074
	0.35000000000000003	0.032857674978294
	0.36000000000000004	0.0338075366396805
	0.37	0.034758347084735
	0.38	0.035710134799384
	0.3900000000000001	0.0366629284716156
	0.4	0.0376167569988508
7
	0.0	0.0
	0.01	0.0011903225641451
	0.02	0.0023806819146664
	0.030000000000000002	0.0035710904145639
	0.04	0.0047615758901499
	0.05	0.0059521622792326
	0.060000000000000005	0.0071428735541665
	0.07	0.0083337337108485
	0.08	0.0095247667734179
	0.09	0.0107159967989887
	0.1	0.0119074478824192
	0.11	0.0130991441611264
	0.12000000000000001	0.0142911098199494
	0.13	0.0154833690960691
	0.13999999999999999	0.0166759462839897
	0.15	0.01786886574059
	0.16	0.0190621518902493
	0.17	0.0202558292300568
	0.18	0.0214499223351102
	0.19	0.022644455863913
	0.2	0.0238394545638765
	0.21000000000000002	0.0250349432769369
	0.22	0.0262309469452949
	0.23	0.0274274906172889
	0.24000000000000002	0.0286245994534137
	0.25	0.0298222987324967
	0.26	0.0310206138580517
	0.27	0.0322195703648329
	0.28	0.0334191939256275
	0.29	0.0346195103583515
	0.3	0.0358205456335557
	0.31	0.037022325882557
	0.32	0.0382248774066256
	0.33	0.0394282266881719
	0.34	0.0406324004061312
	0.35000000000000003	0.0418374254609596
	0.36000000000000004	0.0430433290214314
	0.37	0.0442501385735403
	0.38	0.0454578793876265
	0.3900000000000001	0.0466665018220957
	0.4	0.0478762551570337
10
	0.0	0.0
	0.01	0.0013296958003026
	0.02	0.0026594169367445
	0.030000000000000002	0.0039891730490459
	0.04	0.0053189885375703
	0.05	0.0066488840922625
	0.060000000000000005	0.0079788804372185
	0.07	0.0093089983207227
	0.08	0.010639258520164
	0.09	0.0119696818470037
	0.1	0.0133002891518081
	0.11	0.014631101329357
	0.12000000000000001	0.015962139323847
	0.13	0.0172934241342142
	0.13999999999999999	0.0186249768196114
	0.15	0.019956818505103
	0.16	0.0212889703876922
	0.17	0.0226214537429067
	0.18	0.0239542899324625
	0.19	0.0252875004142852
	0.2	0.0266211067585657
	0.21000000000000002	0.0279551306824087
	0.22	0.0292895941585169
	0.23	0.0306245199653516
	0.24000000000000002	0.0319029066586144
	0.25	0.0325782620161849
	0.26	0.0332142227310863
	0.27	0.0338159897271935
	0.28	0.0343901387581619
	0.29	0.0349410627992266
	0.3	0.035472531154966
	0.31	0.0359879536752808
	0.32	0.0364902007992599
	0.33	0.0369818753144906
	0.34	0.0374652775506628
	0.35000000000000003	0.0379424413979311
	0.36000000000000004	0.038415161601539
	0.37	0.0388850166297721
	0.38	0.0393533888449553
	0.3900000000000001	0.0398214829821049
	0.4	0.040288965574804
12
	0.0	0.0
	0.01	0.0013884389278332
	0.02	0.0027769065018025
	0.030000000000000002	0.0041654144161691
	0.04	0.0055539833529435
	0.05	0.0069426317267846
	0.060000000000000005	0.0083313779860121
	0.07	0.0097202406024082
	0.08	0.0111092380757527
	0.09	0.0124983889382137
	0.1	0.0138877117584424
	0.11	0.0152772251450602
	0.12000000000000001	0.0166669477488491
	0.13	0.0180568982620039
	0.13999999999999999	0.0194470954101039
	0.15	0.0208375579235074
	0.16	0.022228304438245
	0.17	0.0236193530689559
	0.18	0.0250107182487891
	0.19	0.0263807161347014
	0.2	0.0271390802595167
	0.21000000000000002	0.0278437271431337
	0.22	0.0285021555724106
	0.23	0.0291213347782899
	0.24000000000000002	0.0297068600678784
	0.25	0.0302633740337598
	0.26	0.0307952609438821
	0.27	0.0313062733283212
	0.28	0.031799848446011
	0.29	0.0322790751384567
	0.3	0.0327467253205024
	0.31	0.0332052758542877
	0.32	0.0336569273188024
	0.33	0.0341036225281095
	0.34	0.0345470658674637
	0.35000000000000003	0.0349887434332648
	0.36000000000000004	0.0354285941635043
	0.37	0.0358706056230783
	0.38	0.036314155198937
	0.3900000000000001	0.0367600839752752
	0.4	0.0372090827401992
